name,description,score,m_score,price
iMac (21.5-inch Retina Late 2015),Intel Core i7-5775R @ 3.3 GHz (4 cores),946,3730,1835
MacBook Pro (13-inch Mid 2019),Intel Core i5-8279U @ 2.4 GHz (4 cores),957,3935,1799
MacBook Pro (15-inch Mid 2018),Intel Core i7-8750H @ 2.2 GHz (6 cores),965,4807,2502
iMac (27-inch Retina Mid 2017),Intel Core i5-7600 @ 3.5 GHz (4 cores),985,3423,2129
MacBook Pro (15-inch Mid 2018),Intel Core i7-8850H @ 2.6 GHz (6 cores),995,4895,2919
iMac (27-inch Retina Early 2019),Intel Core i5-8500 @ 3.0 GHz (6 cores),1016,4877,1499
iMac (21.5-inch Retina Early 2019),Intel Core i5-8500 @ 3.0 GHz (6 cores),1018,4789,1499
iMac (27-inch Retina Mid 2017),Intel Core i5-7600K @ 3.8 GHz (4 cores),1021,3565,2449
Mac mini (Late 2018),Intel Core i5-8500B @ 3.0 GHz (6 cores),1021,4787,1099
iMac (27-inch Retina),Intel Core i7-4790K @ 4.0 GHz (4 cores),1030,3769,3017
MacBook Pro (16-inch Late 2019),Intel Core i7-9750H @ 2.6 GHz (6 cores),1030,5428,2399
MacBook Pro (13-inch Mid 2018),Intel Core i7-8559U @ 2.7 GHz (4 cores),1032,4063,0
MacBook Pro (15-inch Mid 2019),Intel Core i7-9750H @ 2.6 GHz (6 cores),1032,5125,2442
Mac Pro (Late 2019),Intel Xeon W-3223 @ 3.5 GHz (8 cores),1034,8040,5999
iMac (27-inch Retina Late 2015),Intel Core i7-6700K @ 4.0 GHz (4 cores),1043,4242,2483
MacBook Pro (13-inch Mid 2019),Intel Core i7-8557U @ 1.7 GHz (4 cores),1045,3946,1599
MacBook Pro (15-inch Mid 2018),Intel Core i9-8950HK @ 2.9 GHz (6 cores),1052,5112,2919
iMac (21.5-inch Retina Mid 2017),Intel Core i7-7700 @ 3.6 GHz (4 cores),1060,4318,1703
iMac (27-inch Retina Early 2019),Intel Core i5-8600 @ 3.1 GHz (6 cores),1063,5091,1999
iMac Pro (Late 2017),Intel Xeon W-2140B @ 3.2 GHz (8 cores),1073,8070,5325
iMac Pro (Late 2017),Intel Xeon W-2170B @ 2.5 GHz (14 cores),1080,11196,7029
MacBook Pro (16-inch Late 2019),Intel Core i9-9880H @ 2.3 GHz (8 cores),1081,6665,2799
iMac Pro (Late 2017),Intel Xeon W-2191B @ 2.3 GHz (18 cores),1087,13427,7881
MacBook Pro (15-inch Mid 2019),Intel Core i9-9880H @ 2.3 GHz (8 cores),1094,6368,2850
MacBook Pro (13-inch Mid 2019),Intel Core i7-8569U @ 2.8 GHz (4 cores),1100,4203,2099
MacBook Pro (16-inch Late 2019),Intel Core i9-9980HK @ 2.4 GHz (8 cores),1121,6991,2699
Mac Pro (Late 2019),Intel Xeon W-3235 @ 3.3 GHz (12 cores),1121,11751,6999
iMac (27-inch Retina Mid 2017),Intel Core i7-7700K @ 4.2 GHz (4 cores),1122,4581,2449
Mac mini (Late 2018),Intel Core i7-8700B @ 3.2 GHz (6 cores),1126,5691,1099
iMac Pro (Late 2017),Intel Xeon W-2150B @ 3.0 GHz (10 cores),1127,9534,6177
MacBook Pro (15-inch Mid 2019),Intel Core i9-9980HK @ 2.4 GHz (8 cores),1127,6831,2748
Mac Pro (Late 2019),Intel Xeon W-3245 @ 3.2 GHz (16 cores),1128,14531,7999
iMac (27-inch Retina Early 2019),Intel Core i5-9600K @ 3.7 GHz (6 cores),1137,5414,2299
iMac (21.5-inch Retina Early 2019),Intel Core i7-8700 @ 3.2 GHz (6 cores),1141,6272,1599
Mac Pro (Late 2019),Intel Xeon W-3275M @ 2.5 GHz (28 cores),1142,19205,12999
Mac Pro (Late 2019),Intel Xeon W-3265M @ 2.7 GHz (24 cores),1147,17818,11999
iMac (27-inch Retina Early 2019),Intel Core i9-9900K @ 3.6 GHz (8 cores),1246,8231,2499
MacBook Air (Early 2020),Intel Core i5- @1.1Ghz 1030NG7 (4 cores),1047,2658,999
